Uniprot ID	Gene	UniprotKB Keywords ID	UniprotKB Keywords Name	GO Keywords ID	GO Keywords Name
P50172	Hsd11b1	KW-0560	Oxidoreductase	GO:0070524|GO:0003845|GO:0050661|GO:0005496	11-beta-hydroxysteroid dehydrogenase (NADP+) activity|11-beta-hydroxysteroid dehydrogenase [NAD(P)] activity|NADP binding|steroid binding
P16232	Hsd11b1	KW-0560	Oxidoreductase	GO:0070524|GO:0003845|GO:0050661|GO:0005496	11-beta-hydroxysteroid dehydrogenase (NADP+) activity|11-beta-hydroxysteroid dehydrogenase [NAD(P)] activity|NADP binding|steroid binding
P28845	HSD11B1	KW-0560	Oxidoreductase	GO:0070524|GO:0003845	11-beta-hydroxysteroid dehydrogenase (NADP+) activity|11-beta-hydroxysteroid dehydrogenase [NAD(P)] activity
Q05397	PTK2	KW-0217|KW-0418|KW-0808|KW-0829	Developmental protein|Kinase|Transferase|Tyrosine-protein kinase	GO:0003779|GO:0005524|GO:0008432|GO:0004715|GO:0004672|GO:0019901|GO:0004713|GO:0005088|GO:0042169|GO:0005102	actin binding|ATP binding|JUN kinase binding|non-membrane spanning protein tyrosine kinase activity|protein kinase activity|protein kinase binding|protein tyrosine kinase activity|Ras guanyl-nucleotide exchange factor activity|SH2 domain binding|signaling receptor binding
P52333	JAK3	KW-0418|KW-0808|KW-0829	Kinase|Transferase|Tyrosine-protein kinase	GO:0005524|GO:0004715|GO:0019903|GO:0004713|GO:0005088|GO:0005102	ATP binding|non-membrane spanning protein tyrosine kinase activity|protein phosphatase binding|protein tyrosine kinase activity|Ras guanyl-nucleotide exchange factor activity|signaling receptor binding
O60674	JAK2	KW-0156|KW-0418|KW-0808|KW-0829	Chromatin regulator|Kinase|Transferase|Tyrosine-protein kinase	GO:0033130|GO:0005524|GO:0005131|GO:0020037|GO:0042393|GO:0035401|GO:0042802|GO:0043560|GO:0005143|GO:0046872|GO:0004715|GO:0051428|GO:0043548|GO:0008022|GO:0004672|GO:0019901|GO:0004713|GO:0005088|GO:0042169|GO:0005102|GO:0031702	acetylcholine receptor binding|ATP binding|growth hormone receptor binding|heme binding|histone binding|histone kinase activity (H3-Y41 specific)|identical protein binding|insulin receptor substrate binding|interleukin-12 receptor binding|metal ion binding|non-membrane spanning protein tyrosine kinase activity|peptide hormone receptor binding|phosphatidylinositol 3-kinase binding|protein C-terminus binding|protein kinase activity|protein kinase binding|protein tyrosine kinase activity|Ras guanyl-nucleotide exchange factor activity|SH2 domain binding|signaling receptor binding|type 1 angiotensin receptor binding
P68403	Prkcb	KW-0156|KW-0418|KW-0723|KW-0808	Chromatin regulator|Kinase|Serine/threonine-protein kinase|Transferase	GO:0050681|GO:0005524|GO:0003682|GO:0042393|GO:0035403|GO:0030374|GO:0004697|GO:0008270	androgen receptor binding|ATP binding|chromatin binding|histone binding|histone kinase activity (H3-T6 specific)|nuclear receptor transcription coactivator activity|protein kinase C activity|zinc ion binding
P00517	PRKACA	KW-0418|KW-0723|KW-0808	Kinase|Serine/threonine-protein kinase|Transferase	GO:0005524|GO:0004691|GO:0000287|GO:0030145|GO:0019904|GO:0004672|GO:0034237|GO:0004674	ATP binding|cAMP-dependent protein kinase activity|magnesium ion binding|manganese ion binding|protein domain specific binding|protein kinase activity|protein kinase A regulatory subunit binding|protein serine/threonine kinase activity
P15127	Insr	KW-0418|KW-0675|KW-0808|KW-0829	Kinase|Receptor|Transferase|Tyrosine-protein kinase	GO:0043423|GO:0005524|GO:0005009|GO:0043559|GO:0043560|GO:0031405|GO:0043548|GO:0044877|GO:0019904|GO:0004672|GO:0019901|GO:0019903|GO:0004713	3-phosphoinositide-dependent protein kinase binding|ATP binding|insulin-activated receptor activity|insulin binding|insulin receptor substrate binding|lipoic acid binding|phosphatidylinositol 3-kinase binding|protein-containing complex binding|protein domain specific binding|protein kinase activity|protein kinase binding|protein phosphatase binding|protein tyrosine kinase activity
P00533	EGFR	KW-0217|KW-1183|KW-0418|KW-0675|KW-0808|KW-0829	Developmental protein|Host cell receptor for virus entry|Kinase|Receptor|Transferase|Tyrosine-protein kinase	GO:0051015|GO:0005524|GO:0045296|GO:0005516|GO:0003682|GO:0003690|GO:0019899|GO:0005006|GO:0048408|GO:0042802|GO:0005178|GO:0004709|GO:0046934|GO:0046982|GO:0019901|GO:0019903|GO:0004713|GO:0005088|GO:0004714|GO:0004888|GO:0031625|GO:0001618	actin filament binding|ATP binding|cadherin binding|calmodulin binding|chromatin binding|double-stranded DNA binding|enzyme binding|epidermal growth factor-activated receptor activity|epidermal growth factor binding|identical protein binding|integrin binding|MAP kinase kinase kinase activity|phosphatidylinositol-4,5-bisphosphate 3-kinase activity|protein heterodimerization activity|protein kinase binding|protein phosphatase binding|protein tyrosine kinase activity|Ras guanyl-nucleotide exchange factor activity|transmembrane receptor protein tyrosine kinase activity|transmembrane signaling receptor activity|ubiquitin protein ligase binding|virus receptor activity
P00521	ABL	KW-0418|KW-0808|KW-0829	Kinase|Transferase|Tyrosine-protein kinase	GO:0005524|GO:0004715	ATP binding|non-membrane spanning protein tyrosine kinase activity
P12931	SRC	KW-0418|KW-0808|KW-0829	Kinase|Transferase|Tyrosine-protein kinase	GO:0005524|GO:0045296|GO:0071253|GO:0019899|GO:0046875|GO:0030331|GO:0070851|GO:0020037|GO:0051427|GO:0005158|GO:0005178|GO:0044325|GO:0016301|GO:0019900|GO:0004715|GO:0046934|GO:0051219|GO:0008022|GO:0004672|GO:0005080|GO:0004713|GO:0097110|GO:0042169|GO:0005070|GO:0005102|GO:0031625	ATP binding|cadherin binding|connexin binding|enzyme binding|ephrin receptor binding|estrogen receptor binding|growth factor receptor binding|heme binding|hormone receptor binding|insulin receptor binding|integrin binding|ion channel binding|kinase activity|kinase binding|non-membrane spanning protein tyrosine kinase activity|phosphatidylinositol-4,5-bisphosphate 3-kinase activity|phosphoprotein binding|protein C-terminus binding|protein kinase activity|protein kinase C binding|protein tyrosine kinase activity|scaffold protein binding|SH2 domain binding|SH3/SH2 adaptor activity|signaling receptor binding|ubiquitin protein ligase binding
P09619	PDGFRB	KW-0217|KW-0418|KW-0675|KW-0808|KW-0829	Developmental protein|Kinase|Receptor|Transferase|Tyrosine-protein kinase	GO:0005524|GO:0019899|GO:0043548|GO:0046934|GO:0004992|GO:0005017|GO:0005019|GO:0048407|GO:0005161|GO:0019901|GO:0004713|GO:0005088|GO:0005102|GO:0038085	ATP binding|enzyme binding|phosphatidylinositol 3-kinase binding|phosphatidylinositol-4,5-bisphosphate 3-kinase activity|platelet activating factor receptor activity|platelet-derived growth factor-activated receptor activity|platelet-derived growth factor beta-receptor activity|platelet-derived growth factor binding|platelet-derived growth factor receptor binding|protein kinase binding|protein tyrosine kinase activity|Ras guanyl-nucleotide exchange factor activity|signaling receptor binding|vascular endothelial growth factor binding
P11362	FGFR1	KW-0358|KW-0418|KW-0675|KW-0808|KW-0829	Heparin-binding|Kinase|Receptor|Transferase|Tyrosine-protein kinase	GO:0016303|GO:0005524|GO:0005007|GO:0017134|GO:0008201|GO:0042802|GO:0046934|GO:0042803|GO:0004713|GO:0005088|GO:0090722	1-phosphatidylinositol-3-kinase activity|ATP binding|fibroblast growth factor-activated receptor activity|fibroblast growth factor binding|heparin binding|identical protein binding|phosphatidylinositol-4,5-bisphosphate 3-kinase activity|protein homodimerization activity|protein tyrosine kinase activity|Ras guanyl-nucleotide exchange factor activity|receptor-receptor interaction
P17252	PRKCA	KW-0418|KW-0723|KW-0808	Kinase|Serine/threonine-protein kinase|Transferase	GO:0005524|GO:0004698|GO:0019899|GO:0035403|GO:0005178|GO:0004672|GO:0004697|GO:0004674|GO:0008270	ATP binding|calcium-dependent protein kinase C activity|enzyme binding|histone kinase activity (H3-T6 specific)|integrin binding|protein kinase activity|protein kinase C activity|protein serine/threonine kinase activity|zinc ion binding
P05129	PRKCG	KW-0418|KW-0723|KW-0808	Kinase|Serine/threonine-protein kinase|Transferase	GO:0005524|GO:0004698|GO:0004672|GO:0004697|GO:0004712|GO:0008270	ATP binding|calcium-dependent protein kinase C activity|protein kinase activity|protein kinase C activity|protein serine/threonine/tyrosine kinase activity|zinc ion binding
Q05655	PRKCD	KW-0418|KW-0723|KW-0808	Kinase|Serine/threonine-protein kinase|Transferase	GO:0005524|GO:0004699|GO:0008047|GO:0019899|GO:0043560|GO:0019900|GO:0046872|GO:0004715|GO:0004672|GO:0019901|GO:0004697|GO:0004674	ATP binding|calcium-independent protein kinase C activity|enzyme activator activity|enzyme binding|insulin receptor substrate binding|kinase binding|metal ion binding|non-membrane spanning protein tyrosine kinase activity|protein kinase activity|protein kinase binding|protein kinase C activity|protein serine/threonine kinase activity
Q02156	PRKCE	KW-0418|KW-0723|KW-0808	Kinase|Serine/threonine-protein kinase|Transferase	GO:0071889|GO:0003785|GO:0005524|GO:0004699|GO:0008047|GO:0019899|GO:0035276|GO:0046872|GO:0004697|GO:0004674|GO:0030546	14-3-3 protein binding|actin monomer binding|ATP binding|calcium-independent protein kinase C activity|enzyme activator activity|enzyme binding|ethanol binding|metal ion binding|protein kinase C activity|protein serine/threonine kinase activity|receptor activator activity
P24723	PRKCH	KW-0418|KW-0723|KW-0808	Kinase|Serine/threonine-protein kinase|Transferase	GO:0005524|GO:0004699|GO:0019899|GO:0046872|GO:0004697|GO:0017160	ATP binding|calcium-independent protein kinase C activity|enzyme binding|metal ion binding|protein kinase C activity|Ral GTPase binding
Q05513	PRKCZ	KW-0418|KW-0723|KW-0808	Kinase|Serine/threonine-protein kinase|Transferase	GO:0071889|GO:0005524|GO:0043560|GO:0046872|GO:0043274|GO:0015459|GO:0019904|GO:0004672|GO:0019901|GO:0004697|GO:0004674	14-3-3 protein binding|ATP binding|insulin receptor substrate binding|metal ion binding|phospholipase binding|potassium channel regulator activity|protein domain specific binding|protein kinase activity|protein kinase binding|protein kinase C activity|protein serine/threonine kinase activity
P05771	PRKCB	KW-0156|KW-0418|KW-0723|KW-0808	Chromatin regulator|Kinase|Serine/threonine-protein kinase|Transferase	GO:0050681|GO:0005524|GO:0004698|GO:0003682|GO:0042393|GO:0035403|GO:0030374|GO:0004697|GO:0005080|GO:0004674|GO:0008270	androgen receptor binding|ATP binding|calcium-dependent protein kinase C activity|chromatin binding|histone binding|histone kinase activity (H3-T6 specific)|nuclear receptor transcription coactivator activity|protein kinase C activity|protein kinase C binding|protein serine/threonine kinase activity|zinc ion binding
P07099	EPHX1	KW-0378	Hydrolase	GO:0033961|GO:0004301	cis-stilbene-oxide hydrolase activity|epoxide hydrolase activity
P08581	MET	KW-0418|KW-0675|KW-0808|KW-0829	Kinase|Receptor|Transferase|Tyrosine-protein kinase	GO:0005524|GO:0005008|GO:0042802|GO:0046934|GO:0019903|GO:0004713|GO:0005088	ATP binding|hepatocyte growth factor-activated receptor activity|identical protein binding|phosphatidylinositol-4,5-bisphosphate 3-kinase activity|protein phosphatase binding|protein tyrosine kinase activity|Ras guanyl-nucleotide exchange factor activity
P23946	CMA1	KW-0378|KW-0645|KW-0720	Hydrolase|Protease|Serine protease	GO:0004175|GO:0042277|GO:0004252|GO:0008236	endopeptidase activity|peptide binding|serine-type endopeptidase activity|serine-type peptidase activity
P01275	GCG	KW-0372	Hormone	GO:0031769|GO:0005179|GO:0042802|GO:0005102	glucagon receptor binding|hormone activity|identical protein binding|signaling receptor binding
P05622	Pdgfrb	KW-0217|KW-0418|KW-0675|KW-0808|KW-0829	Developmental protein|Kinase|Receptor|Transferase|Tyrosine-protein kinase	GO:0005524|GO:0019899|GO:0016301|GO:0043548|GO:0005017|GO:0005019|GO:0048407|GO:0005161|GO:0019901|GO:0004713|GO:0005102|GO:0038085	ATP binding|enzyme binding|kinase activity|phosphatidylinositol 3-kinase binding|platelet-derived growth factor-activated receptor activity|platelet-derived growth factor beta-receptor activity|platelet-derived growth factor binding|platelet-derived growth factor receptor binding|protein kinase binding|protein tyrosine kinase activity|signaling receptor binding|vascular endothelial growth factor binding
P24941	CDK2	KW-0418|KW-0723|KW-0808	Kinase|Serine/threonine-protein kinase|Transferase	GO:0005524|GO:0030332|GO:0097472|GO:0004693|GO:0046872|GO:0019904|GO:0004674	ATP binding|cyclin binding|cyclin-dependent protein kinase activity|cyclin-dependent protein serine/threonine kinase activity|metal ion binding|protein domain specific binding|protein serine/threonine kinase activity
P06493	CDK1	KW-1183|KW-0418|KW-0675|KW-0723|KW-0808	Host cell receptor for virus entry|Kinase|Receptor|Serine/threonine-protein kinase|Transferase	GO:0005524|GO:0003682|GO:0030332|GO:0097472|GO:0004693|GO:0035173|GO:0030544|GO:0004672|GO:0004674|GO:0008353|GO:0001618	ATP binding|chromatin binding|cyclin binding|cyclin-dependent protein kinase activity|cyclin-dependent protein serine/threonine kinase activity|histone kinase activity|Hsp70 protein binding|protein kinase activity|protein serine/threonine kinase activity|RNA polymerase II carboxy-terminal domain kinase activity|virus receptor activity
P35968	KDR	KW-0217|KW-0418|KW-0675|KW-0808|KW-0829	Developmental protein|Kinase|Receptor|Transferase|Tyrosine-protein kinase	GO:0005524|GO:0019838|GO:0051879|GO:0042802|GO:0005178|GO:0004713|GO:0004714|GO:0005021|GO:0038085	ATP binding|growth factor binding|Hsp90 protein binding|identical protein binding|integrin binding|protein tyrosine kinase activity|transmembrane receptor protein tyrosine kinase activity|vascular endothelial growth factor-activated receptor activity|vascular endothelial growth factor binding
P04626	ERBB2	KW-0010|KW-0418|KW-0675|KW-0808|KW-0829	Activator|Kinase|Receptor|Transferase|Tyrosine-protein kinase	GO:0005524|GO:0043125|GO:0042802|GO:0046934|GO:0008022|GO:0046983|GO:0046982|GO:0019903|GO:0004713|GO:0005088|GO:0001042|GO:0004714|GO:0004888	ATP binding|ErbB-3 class receptor binding|identical protein binding|phosphatidylinositol-4,5-bisphosphate 3-kinase activity|protein C-terminus binding|protein dimerization activity|protein heterodimerization activity|protein phosphatase binding|protein tyrosine kinase activity|Ras guanyl-nucleotide exchange factor activity|RNA polymerase I core binding|transmembrane receptor protein tyrosine kinase activity|transmembrane signaling receptor activity
P17948	FLT1	KW-0217|KW-0418|KW-0675|KW-0808|KW-0829	Developmental protein|Kinase|Receptor|Transferase|Tyrosine-protein kinase	GO:0005524|GO:0019838|GO:0036332|GO:0004714|GO:0005021|GO:0036326|GO:0036327	ATP binding|growth factor binding|placental growth factor-activated receptor activity|transmembrane receptor protein tyrosine kinase activity|vascular endothelial growth factor-activated receptor activity|VEGF-A-activated receptor activity|VEGF-B-activated receptor activity
P03472	NA	KW-0326|KW-0378	Glycosidase|Hydrolase	GO:0052794|GO:0052795|GO:0052796|GO:0046872	exo-alpha-(2->3)-sialidase activity|exo-alpha-(2->6)-sialidase activity|exo-alpha-(2->8)-sialidase activity|metal ion binding
P10721	KIT	KW-0418|KW-0675|KW-0808|KW-0829	Kinase|Receptor|Transferase|Tyrosine-protein kinase	GO:0005524|GO:0019955|GO:0046872|GO:0046934|GO:0002020|GO:0042803|GO:0004713|GO:0005088|GO:0005020|GO:0004714	ATP binding|cytokine binding|metal ion binding|phosphatidylinositol-4,5-bisphosphate 3-kinase activity|protease binding|protein homodimerization activity|protein tyrosine kinase activity|Ras guanyl-nucleotide exchange factor activity|stem cell factor receptor activity|transmembrane receptor protein tyrosine kinase activity
Q6XUE4	NA	KW-0326|KW-0378	Glycosidase|Hydrolase	GO:0052794|GO:0052795|GO:0052796|GO:0046872	exo-alpha-(2->3)-sialidase activity|exo-alpha-(2->6)-sialidase activity|exo-alpha-(2->8)-sialidase activity|metal ion binding
P03468	NA	KW-0326|KW-0378	Glycosidase|Hydrolase	GO:0052794|GO:0052795|GO:0052796|GO:0004308|GO:0046872|GO:0016504	exo-alpha-(2->3)-sialidase activity|exo-alpha-(2->6)-sialidase activity|exo-alpha-(2->8)-sialidase activity|exo-alpha-sialidase activity|metal ion binding|peptidase activator activity
P43403	ZAP70	KW-0418|KW-0808|KW-0829	Kinase|Transferase|Tyrosine-protein kinase	GO:0005524|GO:0004715|GO:0001784|GO:0004713|GO:0005102	ATP binding|non-membrane spanning protein tyrosine kinase activity|phosphotyrosine residue binding|protein tyrosine kinase activity|signaling receptor binding
P43405	SYK	KW-0418|KW-0808|KW-0829	Kinase|Transferase|Tyrosine-protein kinase	GO:0005524|GO:0005178|GO:0004715|GO:0019902|GO:0001784|GO:0004672|GO:0019901|GO:0004674|GO:0004713|GO:0042169|GO:0035325	ATP binding|integrin binding|non-membrane spanning protein tyrosine kinase activity|phosphatase binding|phosphotyrosine residue binding|protein kinase activity|protein kinase binding|protein serine/threonine kinase activity|protein tyrosine kinase activity|SH2 domain binding|Toll-like receptor binding
P62993	GRB2			GO:0016303|GO:0046875|GO:0005154|GO:0042802|GO:0043560|GO:0005168|GO:0004715|GO:0046934|GO:0001784|GO:0019901|GO:0019903|GO:0005088|GO:0003723|GO:0005070|GO:0017124	1-phosphatidylinositol-3-kinase activity|ephrin receptor binding|epidermal growth factor receptor binding|identical protein binding|insulin receptor substrate binding|neurotrophin TRKA receptor binding|non-membrane spanning protein tyrosine kinase activity|phosphatidylinositol-4,5-bisphosphate 3-kinase activity|phosphotyrosine residue binding|protein kinase binding|protein phosphatase binding|Ras guanyl-nucleotide exchange factor activity|RNA binding|SH3/SH2 adaptor activity|SH3 domain binding
Q02763	TEK	KW-0418|KW-0675|KW-0808|KW-0829	Kinase|Receptor|Transferase|Tyrosine-protein kinase	GO:0005524|GO:0019838|GO:0004672|GO:0004713|GO:0005088|GO:0038023|GO:0004714	ATP binding|growth factor binding|protein kinase activity|protein tyrosine kinase activity|Ras guanyl-nucleotide exchange factor activity|signaling receptor activity|transmembrane receptor protein tyrosine kinase activity
P00519	ABL1	KW-0238|KW-0418|KW-0808|KW-0829	DNA-binding|Kinase|Transferase|Tyrosine-protein kinase	GO:0051015|GO:0003785|GO:0005524|GO:0003677|GO:0046875|GO:0016301|GO:0000287|GO:0030145|GO:0051019|GO:0038191|GO:0004515|GO:0004715|GO:0001784|GO:0070064|GO:0008022|GO:0004672|GO:0005080|GO:0004713|GO:0042169|GO:0017124|GO:0005102|GO:0019905	actin filament binding|actin monomer binding|ATP binding|DNA binding|ephrin receptor binding|kinase activity|magnesium ion binding|manganese ion binding|mitogen-activated protein kinase binding|neuropilin binding|nicotinate-nucleotide adenylyltransferase activity|non-membrane spanning protein tyrosine kinase activity|phosphotyrosine residue binding|proline-rich region binding|protein C-terminus binding|protein kinase activity|protein kinase C binding|protein tyrosine kinase activity|SH2 domain binding|SH3 domain binding|signaling receptor binding|syntaxin binding
P06213	INSR	KW-0418|KW-0675|KW-0808|KW-0829	Kinase|Receptor|Transferase|Tyrosine-protein kinase	GO:0001540|GO:0005524|GO:0005525|GO:0042802|GO:0005009|GO:0043559|GO:0031994|GO:0031995|GO:0005159|GO:0043560|GO:0043548|GO:0044877|GO:0019904|GO:0004713|GO:0051425	amyloid-beta binding|ATP binding|GTP binding|identical protein binding|insulin-activated receptor activity|insulin binding|insulin-like growth factor I binding|insulin-like growth factor II binding|insulin-like growth factor receptor binding|insulin receptor substrate binding|phosphatidylinositol 3-kinase binding|protein-containing complex binding|protein domain specific binding|protein tyrosine kinase activity|PTB domain binding
P21802	FGFR2	KW-0358|KW-0418|KW-0675|KW-0808|KW-0829	Heparin-binding|Kinase|Receptor|Transferase|Tyrosine-protein kinase	GO:0016303|GO:0005524|GO:0005007|GO:0017134|GO:0008201|GO:0042802|GO:0046934|GO:0042803|GO:0004713|GO:0005088	1-phosphatidylinositol-3-kinase activity|ATP binding|fibroblast growth factor-activated receptor activity|fibroblast growth factor binding|heparin binding|identical protein binding|phosphatidylinositol-4,5-bisphosphate 3-kinase activity|protein homodimerization activity|protein tyrosine kinase activity|Ras guanyl-nucleotide exchange factor activity
P06239	LCK	KW-0418|KW-0808|KW-0829	Kinase|Transferase|Tyrosine-protein kinase	GO:0051117|GO:0005524|GO:0042609|GO:0042610|GO:0042802|GO:0016301|GO:0004715|GO:0043548|GO:0046934|GO:0001784|GO:0008022|GO:0019901|GO:0019903|GO:0004722|GO:0004713|GO:0042169|GO:0042608	ATPase binding|ATP binding|CD4 receptor binding|CD8 receptor binding|identical protein binding|kinase activity|non-membrane spanning protein tyrosine kinase activity|phosphatidylinositol 3-kinase binding|phosphatidylinositol-4,5-bisphosphate 3-kinase activity|phosphotyrosine residue binding|protein C-terminus binding|protein kinase binding|protein phosphatase binding|protein serine/threonine phosphatase activity|protein tyrosine kinase activity|SH2 domain binding|T cell receptor binding
P11275	Camk2a	KW-0112|KW-0418|KW-0723|KW-0808	Calmodulin-binding|Kinase|Serine/threonine-protein kinase|Transferase	GO:0005524|GO:0005516|GO:0004683|GO:0035254|GO:0032794|GO:0046872|GO:0004674	ATP binding|calmodulin binding|calmodulin-dependent protein kinase activity|glutamate receptor binding|GTPase activating protein binding|metal ion binding|protein serine/threonine kinase activity
Q06486	Csnk1d	KW-0418|KW-0723|KW-0808	Kinase|Serine/threonine-protein kinase|Transferase	GO:0005524|GO:0016301|GO:0042277|GO:0004672|GO:0004674|GO:0050321	ATP binding|kinase activity|peptide binding|protein kinase activity|protein serine/threonine kinase activity|tau-protein kinase activity
P63086	Mapk1	KW-0418|KW-0723|KW-0808	Kinase|Serine/threonine-protein kinase|Transferase	GO:0005524|GO:0042802|GO:0016301|GO:0004707|GO:0004708|GO:0031435|GO:0019902|GO:0001784|GO:0019901|GO:0004674|GO:0008353|GO:0008134	ATP binding|identical protein binding|kinase activity|MAP kinase activity|MAP kinase kinase activity|mitogen-activated protein kinase kinase kinase binding|phosphatase binding|phosphotyrosine residue binding|protein kinase binding|protein serine/threonine kinase activity|RNA polymerase II carboxy-terminal domain kinase activity|transcription factor binding
P25774	CTSS	KW-0378|KW-0645|KW-0788	Hydrolase|Protease|Thiol protease	GO:0005518|GO:0004197|GO:0001968|GO:0043236|GO:0043394|GO:0004252	collagen binding|cysteine-type endopeptidase activity|fibronectin binding|laminin binding|proteoglycan binding|serine-type endopeptidase activity
P34998	CRHR1	KW-0297|KW-0675|KW-0807	G-protein coupled receptor|Receptor|Transducer	GO:0015056	corticotrophin-releasing factor receptor activity
P18266	Gsk3b	KW-0217|KW-0418|KW-0723|KW-0734|KW-0808	Developmental protein|Kinase|Serine/threonine-protein kinase|Signal transduction inhibitor|Transferase	GO:0005524|GO:0005178|GO:0035255|GO:0016301|GO:0019901|GO:0004674|GO:0048156|GO:0050321|GO:0008134	ATP binding|integrin binding|ionotropic glutamate receptor binding|kinase activity|protein kinase binding|protein serine/threonine kinase activity|tau protein binding|tau-protein kinase activity|transcription factor binding
P33316	DUT	KW-0378	Hydrolase	GO:0004170|GO:0000287|GO:0003723	dUTP diphosphatase activity|magnesium ion binding|RNA binding
P08069	IGF1R	KW-0418|KW-0675|KW-0808|KW-0829	Kinase|Receptor|Transferase|Tyrosine-protein kinase	GO:0005524|GO:0042802|GO:0043559|GO:0005010|GO:0005520|GO:0031994|GO:0005158|GO:0043560|GO:0043548|GO:0004713	ATP binding|identical protein binding|insulin binding|insulin-like growth factor-activated receptor activity|insulin-like growth factor binding|insulin-like growth factor I binding|insulin receptor binding|insulin receptor substrate binding|phosphatidylinositol 3-kinase binding|protein tyrosine kinase activity
Q9D379	Ephx1	KW-0378	Hydrolase	GO:0033961|GO:0019899|GO:0004301	cis-stilbene-oxide hydrolase activity|enzyme binding|epoxide hydrolase activity
